True Cost 	Penalty 	Adjusted Cost
1.833574E-01	0.000000E+00	1.833574E-01
5.934384E-02	0.000000E+00	5.934384E-02
1.428424E-01	0.000000E+00	1.428424E-01
1.070244E-01	0.000000E+00	1.070244E-01
6.432193E-02	0.000000E+00	6.432193E-02
1.574666E-01	0.000000E+00	1.574666E-01
2.143683E-01	0.000000E+00	2.143683E-01
6.660610E-02	0.000000E+00	6.660610E-02
1.507686E-01	0.000000E+00	1.507686E-01
1.270659E-01	0.000000E+00	1.270659E-01
9.625849E-02	0.000000E+00	9.625849E-02
1.187888E-01	0.000000E+00	1.187888E-01
2.942484E-01	0.000000E+00	2.942484E-01
1.865014E-01	0.000000E+00	1.865014E-01
2.087159E-01	0.000000E+00	2.087159E-01
2.245919E-01	0.000000E+00	2.245919E-01
2.864327E-01	0.000000E+00	2.864327E-01
1.548249E-01	0.000000E+00	1.548249E-01
8.726735E-02	0.000000E+00	8.726735E-02
1.790487E-01	0.000000E+00	1.790487E-01
4.932332E-02	0.000000E+00	4.932332E-02
4.670599E-02	0.000000E+00	4.670599E-02
5.025224E-02	0.000000E+00	5.025224E-02
9.558501E-02	0.000000E+00	9.558501E-02
1.163228E-01	0.000000E+00	1.163228E-01
1.072357E-01	0.000000E+00	1.072357E-01
1.593626E-01	0.000000E+00	1.593626E-01
1.157496E-01	0.000000E+00	1.157496E-01
1.127068E-01	0.000000E+00	1.127068E-01
9.927863E-02	0.000000E+00	9.927863E-02
1.579583E-01	0.000000E+00	1.579583E-01
1.829872E-01	0.000000E+00	1.829872E-01
7.961330E-02	0.000000E+00	7.961330E-02
6.578729E-02	0.000000E+00	6.578729E-02
1.416352E-01	0.000000E+00	1.416352E-01
9.680715E-02	0.000000E+00	9.680715E-02
6.207550E-02	0.000000E+00	6.207550E-02
1.510111E-01	0.000000E+00	1.510111E-01
1.797272E-01	0.000000E+00	1.797272E-01
8.601119E-02	0.000000E+00	8.601119E-02
7.288939E-02	0.000000E+00	7.288939E-02
2.292363E-01	0.000000E+00	2.292363E-01
2.006753E-01	0.000000E+00	2.006753E-01
2.302001E-01	0.000000E+00	2.302001E-01
5.312179E-02	0.000000E+00	5.312179E-02
1.120832E-01	0.000000E+00	1.120832E-01
9.911109E-02	0.000000E+00	9.911109E-02
1.098863E-01	0.000000E+00	1.098863E-01
1.374998E-01	0.000000E+00	1.374998E-01
1.434913E-01	0.000000E+00	1.434913E-01
1.154969E-01	0.000000E+00	1.154969E-01
1.414839E-01	0.000000E+00	1.414839E-01
4.852694E-02	0.000000E+00	4.852694E-02
1.855048E-01	0.000000E+00	1.855048E-01
8.335923E-02	0.000000E+00	8.335923E-02
2.670020E-01	0.000000E+00	2.670020E-01
2.079568E-01	0.000000E+00	2.079568E-01
1.637354E-01	0.000000E+00	1.637354E-01
9.812521E-02	0.000000E+00	9.812521E-02
6.147195E-02	0.000000E+00	6.147195E-02
9.033421E-02	0.000000E+00	9.033421E-02
1.070881E-01	0.000000E+00	1.070881E-01
1.940900E-01	0.000000E+00	1.940900E-01
1.004713E-01	0.000000E+00	1.004713E-01
6.235633E-02	0.000000E+00	6.235633E-02
4.596167E-02	0.000000E+00	4.596167E-02
1.894948E-01	0.000000E+00	1.894948E-01
1.257700E-01	0.000000E+00	1.257700E-01
1.311187E-01	0.000000E+00	1.311187E-01
1.547677E-01	0.000000E+00	1.547677E-01
5.010417E-02	0.000000E+00	5.010417E-02
1.729742E-01	0.000000E+00	1.729742E-01
5.054504E-02	0.000000E+00	5.054504E-02
2.389821E-01	0.000000E+00	2.389821E-01
7.758430E-02	0.000000E+00	7.758430E-02
2.201279E-01	0.000000E+00	2.201279E-01
1.529799E-01	0.000000E+00	1.529799E-01
6.009113E-02	0.000000E+00	6.009113E-02
5.687939E-02	0.000000E+00	5.687939E-02
4.351674E-02	0.000000E+00	4.351674E-02
1.396777E-01	0.000000E+00	1.396777E-01
1.652217E-01	0.000000E+00	1.652217E-01
5.005906E-02	0.000000E+00	5.005906E-02
2.100662E-01	0.000000E+00	2.100662E-01
2.441188E-01	0.000000E+00	2.441188E-01
6.093771E-02	0.000000E+00	6.093771E-02
1.106910E-01	0.000000E+00	1.106910E-01
1.855350E-01	0.000000E+00	1.855350E-01
5.943971E-02	0.000000E+00	5.943971E-02
1.091271E-01	0.000000E+00	1.091271E-01
1.077328E-01	0.000000E+00	1.077328E-01
6.684793E-02	0.000000E+00	6.684793E-02
4.201538E-02	0.000000E+00	4.201538E-02
8.254733E-02	0.000000E+00	8.254733E-02
9.228958E-02	0.000000E+00	9.228958E-02
5.281619E-02	0.000000E+00	5.281619E-02
